addr,name
6c141000,FUN_6c141000
6c141060,entry
6c141140,FUN_6c141140
6c1411e0,__x86.get_pc_thunk.ax
6c1411f0,__x86.get_pc_thunk.cx
6c141200,__x86.get_pc_thunk.dx
6c141210,__x86.get_pc_thunk.bx
6c141220,__x86.get_pc_thunk.bp
6c141230,__x86.get_pc_thunk.si
6c141240,__x86.get_pc_thunk.di
6c1412c0,sync/atomic.(*Int32).Add
6c141300,sync/atomic.(*noCopy).Lock
6c141320,sync/atomic.(*noCopy).Unlock
6c141340,sync/atomic.(*Value).Load
6c1413d0,sync/atomic.(*Value).Store
6c1414e0,sync/atomic.SwapUint32
6c1414f0,sync/atomic.SwapUintptr
6c141500,sync/atomic.CompareAndSwapInt32
6c141510,sync/atomic.CompareAndSwapUint32
6c141520,sync/atomic.CompareAndSwapUintptr
6c141530,sync/atomic.CompareAndSwapUint64
6c141540,sync/atomic.AddInt32
6c141550,sync/atomic.AddUint32
6c141560,sync/atomic.AddInt64
6c141570,sync/atomic.AddUint64
6c141580,sync/atomic.LoadInt32
6c141590,sync/atomic.LoadUint32
6c1415a0,sync/atomic.LoadInt64
6c1415b0,sync/atomic.LoadUint64
6c1415c0,sync/atomic.LoadUintptr
6c1415d0,sync/atomic.LoadPointer
6c1415e0,sync/atomic.StoreInt32
6c1415f0,sync/atomic.StoreUint32
6c141600,sync/atomic.StoreInt64
6c141610,sync/atomic.StoreUint64
6c141620,sync/atomic.StoreUintptr
6c141630,type:.eq.sync/atomic.Bool
6c141660,type:.eq.sync/atomic.Int32
6c141690,type:.eq.sync/atomic.Int64
6c1416d0,type:.eq.sync/atomic.Uint64
6c141710,internal/abi.Kind.String
6c141780,internal/abi.(*Type).Kind
6c1417b0,internal/abi.(*Type).Len
6c1417f0,internal/abi.(*Type).Size
6c141820,internal/abi.(*Type).ExportedMethods
6c141910,internal/abi.(*Type).NumMethod
6c141960,internal/abi.Name.IsBlank
6c1419e0,internal/abi.Name.Name
6c141aa0,internal/abi.Name.Tag
6c141bc0,internal/abi.NewName
6c141fa0,internal/abi.(*Kind).String
6c142020,internal/abi.(*FuncType).Kind
6c142060,internal/abi.(*FuncType).Len
6c1420b0,internal/abi.(*FuncType).NumMethod
6c142100,internal/abi.(*FuncType).Size
6c142140,internal/abi.(*PtrType).Kind
6c142180,internal/abi.(*PtrType).Len
6c1421d0,internal/abi.(*PtrType).NumMethod
6c142220,internal/abi.(*PtrType).Size
6c142260,type:.eq.internal/abi.UncommonType
6c1422b0,internal/cpu.Initialize
6c1422f0,internal/cpu.processOptions
6c1427b0,internal/cpu.doinit
6c142e50,internal/cpu.cpuid
6c142e70,internal/cpu.xgetbv
6c142e90,internal/cpu.getGOAMD64level
6c142ea0,type:.eq.internal/cpu.option
6c142f10,type:.eq.[6]internal/cpu.option
6c1430c0,runtime/internal/atomic.LoadAcq
6c1430d0,runtime/internal/atomic.LoadAcquintptr
6c1430e0,runtime/internal/atomic.Load8
6c1430f0,runtime/internal/atomic.(*noCopy).Lock
6c143110,runtime/internal/atomic.(*noCopy).Unlock
6c143130,runtime/internal/atomic.panicUnaligned
6c143170,runtime/internal/atomic.Load
6c143180,runtime/internal/atomic.Loadp
6c143190,runtime/internal/atomic.Cas
6c1431b0,runtime/internal/atomic.Casint32
6c1431c0,runtime/internal/atomic.Casint64
6c1431d0,runtime/internal/atomic.Casuintptr
6c1431e0,runtime/internal/atomic.CasRel
6c1431f0,runtime/internal/atomic.Loaduintptr
6c143200,runtime/internal/atomic.Loaduint
6c143210,runtime/internal/atomic.Storeint32
6c143220,runtime/internal/atomic.Storeint64
6c143230,runtime/internal/atomic.Storeuintptr
