addr,name
004011f4,GetStdHandle
0040120c,UnhandledExceptionFilter
00401214,WriteFile
0040121c,CharNextA
00401224,ExitProcess
0040122c,MessageBoxA
00401234,FindClose
0040123c,FindFirstFileA
00401244,FreeLibrary
0040124c,GetCommandLineA
00401254,GetLocaleInfoA
0040125c,GetModuleFileNameA
00401264,GetModuleHandleA
0040126c,GetProcAddress
00401274,GetStartupInfoA
0040127c,GetThreadLocale
00401284,LoadLibraryExA
0040128c,LoadStringA
00401294,lstrcpynA
0040129c,lstrlenA
004012a4,MultiByteToWideChar
004012ac,RegCloseKey
004012b4,RegOpenKeyExA
004012bc,RegQueryValueExA
004012c4,WideCharToMultiByte
004012cc,VirtualQuery
004012d4,SysAllocStringLen
004012dc,SysReAllocStringLen
004012e4,SysFreeString
004012ec,InterlockedIncrement
004012f4,InterlockedDecrement
004012fc,GetCurrentThreadId
00401304,GetVersion
0040130c,FUN_0040130c
00401330,LocalAlloc
00401338,LocalFree
00401340,VirtualAlloc
00401348,VirtualFree
00401350,InitializeCriticalSection
00401358,EnterCriticalSection
00401360,LeaveCriticalSection
00401368,DeleteCriticalSection
00401370,FUN_00401370
004013f4,FUN_004013f4
004013fc,FUN_004013fc
00401458,FUN_00401458
0040148c,FUN_0040148c
00401514,FUN_00401514
004015d8,FUN_004015d8
0040163c,FUN_0040163c
004016b4,FUN_004016b4
0040177c,FUN_0040177c
0040183c,FUN_0040183c
004018f8,FUN_004018f8
004019a0,FUN_004019a0
00401ae4,FUN_00401ae4
00401b78,FUN_00401b78
00401c50,FUN_00401c50
00401d50,FUN_00401d50
00401de4,FUN_00401de4
00401e28,FUN_00401e28
00401e64,FUN_00401e64
00401e88,FUN_00401e88
00401eb0,FUN_00401eb0
00401f28,FUN_00401f28
00401f68,FUN_00401f68
00402024,FUN_00402024
0040211c,FUN_0040211c
00402168,FUN_00402168
004021f4,FUN_004021f4
00402220,FUN_00402220
00402254,FUN_00402254
0040228c,FUN_0040228c
004023d4,FUN_004023d4
00402580,FUN_00402580
00402758,FUN_00402758
0040295c,FUN_0040295c
00402a28,FUN_00402a28
00402a58,FUN_00402a58
00402a78,FUN_00402a78
00402ac8,FUN_00402ac8
00402ae8,FUN_00402ae8
00402b50,FUN_00402b50
00402b5c,FUN_00402b5c
00402ba8,FUN_00402ba8
00402bb4,FUN_00402bb4
00402bd4,FUN_00402bd4
00402be4,FUN_00402be4
00402c28,FUN_00402c28
00402c48,FUN_00402c48
00402c88,FUN_00402c88
00402c98,FUN_00402c98
00402ca0,FUN_00402ca0
00402cac,FUN_00402cac
00402cc8,FUN_00402cc8
00402d10,FUN_00402d10
00402d1c,FUN_00402d1c
00402d74,FUN_00402d74
00402d90,FUN_00402d90
00402e14,FUN_00402e14
00402e84,FUN_00402e84
00402ea4,FUN_00402ea4
00402f78,FUN_00402f78
00402f84,FUN_00402f84
00402fa8,FUN_00402fa8
00402fbc,thunk_FUN_00402fc4
00402fc4,FUN_00402fc4
004032a8,GetKeyboardType
004032b0,FUN_004032b0
004032e0,FUN_004032e0
004033a4,FUN_004033a4
004033b0,FUN_004033b0
004033bc,FUN_004033bc
004033d0,FUN_004033d0
004033f8,FUN_004033f8
00403404,FUN_00403404
00403420,FUN_00403420
00403434,FUN_00403434
0040343c,FUN_0040343c
0040345c,FUN_0040345c
0040346c,FUN_0040346c
00403478,FUN_00403478
004034d0,FUN_004034d0
004034f0,FUN_004034f0
00403520,FUN_00403520
004035c0,FUN_004035c0
00403604,FUN_00403604
00403628,FUN_00403628
00403644,FUN_00403644
00403674,FUN_00403674
0040368c,thunk_FUN_00403690
00403690,FUN_00403690
004036a0,FUN_004036a0
004036b0,FUN_004036b0
004036b8,FUN_004036b8
004036bc,FUN_004036bc
004036c0,FUN_004036c0
004036ec,FUN_004036ec
0040373c,FUN_0040373c
0040378c,FUN_0040378c
004037dc,FUN_004037dc
004037e4,FUN_004037e4
004037f4,FUN_004037f4
00403820,FUN_00403820
00403844,FUN_00403844
0040385c,FUN_0040385c
00403870,FUN_00403870
00403884,FUN_00403884
004038a4,FUN_004038a4
004038e8,FUN_004038e8
00403908,FUN_00403908
00403bbc,FUN_00403bbc
00403bf4,FUN_00403bf4
00403ca0,FUN_00403ca0
00403df8,FUN_00403df8
00403e18,FUN_00403e18
00403e40,FUN_00403e40
00403eb0,FUN_00403eb0
00403f20,FUN_00403f20
00403f60,FUN_00403f60
00403f84,FUN_00403f84
00403fac,FUN_00403fac
00403fd0,FUN_00403fd0
0040402c,FUN_0040402c
0040405c,FUN_0040405c
004040e8,FUN_004040e8
004041c8,FUN_004041c8
004041d4,FUN_004041d4
004041e0,FUN_004041e0
00404204,FUN_00404204
00404234,FUN_00404234
00404278,FUN_00404278
004042a4,FUN_004042a4
004042d0,FUN_004042d0
00404300,FUN_00404300
00404320,FUN_00404320
0040433c,FUN_0040433c
004043c8,FUN_004043c8
004043d8,FUN_004043d8
00404408,FUN_00404408
00404444,FUN_00404444
00404450,FUN_00404450
