addr,name
10001000,FUN_10001000
10001030,FUN_10001030
100013d0,FUN_100013d0
100013e0,FUN_100013e0
10001420,FUN_10001420
10001440,FUN_10001440
10001460,FUN_10001460
10001490,FUN_10001490
10001c90,FUN_10001c90
10001ee0,FUN_10001ee0
100020e0,FUN_100020e0
10002100,FUN_10002100
100022c0,WintunCloseAdapter
10002380,FUN_10002380
10002550,FUN_10002550
10002780,WintunGetAdapterLUID
100027e0,FUN_100027e0
10002930,FUN_10002930
10002970,FUN_10002970
10002b90,FUN_10002b90
10002bd0,WintunCreateAdapter
100035e0,WintunOpenAdapter
10003990,FUN_10003990
10003a50,FUN_10003a50
10003cc0,FUN_10003cc0
10004050,WintunGetRunningDriverVersion
10004060,FUN_10004060
10004200,FUN_10004200
10004b30,WintunDeleteDriver
10004de0,FUN_10004de0
10004df0,WintunSetLogger
10004e10,FUN_10004e10
10004ee0,FUN_10004ee0
10005030,FUN_10005030
10005110,FUN_10005110
100052a0,FUN_100052a0
10005310,FUN_10005310
10005380,FUN_10005380
10005530,FUN_10005530
10005700,FUN_10005700
10005850,FUN_10005850
10005890,FUN_10005890
10005a10,FUN_10005a10
10005b60,FUN_10005b60
10005b90,WintunStartSession
10005d90,WintunEndSession
10005e00,WintunGetReadWaitEvent
10005e10,WintunReceivePacket
10005ec0,WintunReleaseReceivePacket
10005f30,WintunAllocateSendPacket
10005fc0,WintunSendPacket
10006040,FUN_10006040
10006050,FUN_10006050
10006080,FUN_10006080
10006630,FUN_10006630
100066c0,FUN_100066c0
10006820,FUN_10006820
10006d70,FUN_10006d70
10006ecb,DelayLoad_CM_Get_DevNode_Status
10006ed5,FUN_10006ed5
10006ee6,DelayLoad_CM_MapCrToWin32Err
10006ef0,DelayLoad_CM_Open_DevNode_Key
10006efa,DelayLoad_CM_Locate_DevNodeW
10006f04,DelayLoad_CM_Get_Device_Interface_ListW
10006f0e,DelayLoad_CM_Get_Device_IDW
10006f18,DelayLoad_CM_Get_Device_Interface_List_SizeW
10006f22,DelayLoad_ConvertInterfaceAliasToLuid
10006f2c,FUN_10006f2c
10006f3d,DelayLoad_ConvertInterfaceLuidToGuid
10006f47,DelayLoad_GetTokenInformation
10006f51,FUN_10006f51
10006f62,DelayLoad_ConvertStringSecurityDescriptorToSecurityDescriptorW
10006f6c,DelayLoad_OpenProcessToken
10006f76,DelayLoad_CreateWellKnownSid
10006f80,DelayLoad_EqualSid
10006f8a,DelayLoad_SetupDiDestroyDeviceInfoList
10006f94,FUN_10006f94
10006fa5,DelayLoad_SetupDiCreateDeviceInfoW
10006faf,DelayLoad_RegQueryValueExW
10006fb9,DelayLoad_DevCloseObjectQuery
10006fc3,FUN_10006fc3
10006fd4,DelayLoad_CoCreateGuid
10006fde,FUN_10006fde
10006fef,DelayLoad_StringFromGUID2
10006ff9,DelayLoad_SetupDiOpenDevRegKey
10007003,DelayLoad_SwDeviceCreate
1000700d,FUN_1000700d
1000701e,DelayLoad_SetupDiSetDeviceRegistryPropertyW
10007028,DelayLoad_RegSetValueExW
10007032,DelayLoad_SetupDiDestroyDriverInfoList
1000703c,DelayLoad_SetupDiGetDeviceInstallParamsW
10007046,DelayLoad_SetupDiGetClassDevsExW
10007050,DelayLoad_SetupDiEnumDriverInfoW
1000705a,DelayLoad_SetupDiSetSelectedDriverW
10007064,DelayLoad_DevCreateObjectQuery
1000706e,DelayLoad_SetupDiSetClassInstallParamsW
10007078,DelayLoad_SetupDiBuildDriverInfoList
10007082,DelayLoad_SwDeviceClose
1000708c,DelayLoad_SetupDiCallClassInstaller
10007096,DelayLoad_SetupDiCreateDeviceInfoListExW
100070a0,DelayLoad_SetupDiGetDevicePropertyW
100070aa,DelayLoad_CLSIDFromString
100070b4,DelayLoad_SetupDiSetDeviceInstallParamsW
100070be,DelayLoad_SetupDiGetDeviceInstanceIdW
100070c8,DelayLoad_RegCloseKey
100070d2,DelayLoad_SetupDiEnumDeviceInfo
100070dc,DelayLoad_SetupDiGetDeviceRegistryPropertyW
100070e6,DelayLoad_SetupDiSetDevicePropertyW
100070f0,DelayLoad_SetupDiOpenDeviceInfoW
100070fa,DelayLoad_GetFileVersionInfoSizeW
10007104,FUN_10007104
10007115,DelayLoad_PathCombineW
1000711f,FUN_1000711f
10007130,DelayLoad_VerQueryValueW
1000713a,DelayLoad_PathFindFileNameW
10007144,DelayLoad_SetupUninstallOEMInfW
1000714e,DelayLoad_SetupDiGetDriverInfoDetailW
10007158,DelayLoad_GetFileVersionInfoW
10007162,DelayLoad_SetupCopyOEMInfW
1000716c,DelayLoad_SystemFunction036
10007176,DelayLoad_CommandLineToArgvW
10007191,DelayLoad_NciSetConnectionName
100071ac,DelayLoad_SetupDiSetSelectedDevice
100071b6,DloadAcquireSectionWriteAccess
100071e9,DloadGetSRWLockFunctionPointers
1000725c,DloadLock
1000729b,DloadMakePermanentImageCommit
1000730a,DloadObtainSection
10007385,DloadProtectSection
100073f3,DloadReleaseSectionWriteAccess
10007429,DloadUnlock
10007455,___delayLoadHelper2@8
100076c4,__security_check_cookie
100076d2,FUN_100076d2
100076fa,FUN_100076fa
100077f4,FUN_100077f4
10007800,FUN_10007800
100078d0,dllmain_crt_dispatch
10007923,FUN_10007923
10007a06,FUN_10007a06
10007a2a,FUN_10007a2a
10007abf,FUN_10007abf
10007acc,FUN_10007acc
10007ada,dllmain_dispatch
10007be5,dllmain_raw
10007c10,entry
10007c40,guard_check_icall
10007c43,___get_entropy
10007c90,___security_init_cookie
10007cdb,FUN_10007cdb
10007ce7,__scrt_uninitialize_type_info
10007cf3,FUN_10007cf3
10007d10,find_pe_section
10007d54,___scrt_acquire_startup_lock
10007d86,___scrt_dllmain_after_initialize_c
10007db1,FUN_10007db1
10007dbf,___scrt_dllmain_crt_thread_attach
10007dde,___scrt_dllmain_crt_thread_detach
10007deb,___scrt_dllmain_exception_filter
10007e1f,FUN_10007e1f
10007e42,FUN_10007e42
10007e4f,___scrt_initialize_crt
10007e88,FUN_10007e88
10007f0f,___scrt_is_nonwritable_in_current_image
10007fa3,___scrt_release_startup_lock
10007fc0,___scrt_uninitialize_crt
10007fe8,FUN_10007fe8
10007fee,FUN_10007fee
10008109,FUN_10008109
10008111,FUN_10008111
1000813d,FUN_1000813d
10008170,__SEH_prolog4
100081b5,FUN_100081b5
10008386,FUN_10008386
1000838a,___scrt_is_ucrt_dll_in_use
100083a0,_ValidateLocalCookies
100083e0,__except_handler4
1000853e,___std_type_info_compare
1000857a,___std_type_info_destroy_list
1000859d,___vcrt_initialize
100085bc,___vcrt_thread_attach
100085c7,___vcrt_thread_detach
100085d2,___vcrt_uninitialize
100085e9,FUN_100085e9
10008600,___DestructExceptionObject
100086a1,_CallMemberFunction0
100086ae,FUN_100086ae
10008706,__IsExceptionObjectToBeDestroyed
1000872c,___AdjustPointer
10008751,FUN_10008751
100087b0,Unwind@100087b0
100087c0,_memset
10008920,FUN_10008920
100089c0,FUN_100089c0
10008a10,_EH4_CallFilterFunc
10008a30,_EH4_TransferToHandler
10008a50,_EH4_GlobalUnwind2
10008a70,_EH4_LocalUnwind
10008a87,___except_validate_context_record
10008ac0,___vcrt_freefls@4
10008adc,___vcrt_freeptd
10008b12,___vcrt_getptd
10008b20,___vcrt_getptd_noexit
10008bb2,___vcrt_initialize_ptd
10008be5,___vcrt_uninitialize_ptd
10008c00,___vcrt_initialize_locks
